Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open !,02/16/2024 19:04,Fayetteville,NC,USA,Triangle,Large acre plus-sized triangular craft traveling approx 32000 feet.,03/26/2024,Y,
Open,02/14/2024 12:30,Potomac Falls,VA,USA,Unknown,Two objects seen from ground flying against wind today.,02/14/2024,Y,
Open,02/11/2024 21:05,Monterey,CA,USA,Unknown,"An object similar to a satellite shot across the sky in about 3 seconds, and turned about 40 degrees",07/21/2024,Y,
Open,02/10/2024 21:31,Ozona,TX,USA,Other,The thing is I see these regularly and I have time loss I can't even remember these particular pictures.,02/14/2024,Y,
Open,02/06/2024 22:57,Lamar,CO,USA,Oval,We saw what looked like dogfighting spacecraft,04/25/2024,Y,Aircraft?
Open !,02/05/2024 22:32,Hoquiam,WA,USA,Light,Light moving erratically,02/06/2024,Y,
Open !,02/05/2024 4:55,Omaha,NE,USA,Light,"Flying to the East at 39,000 saw 6 UFO's at diff speeds, altitudes (btn 50, and 80 thousand feet) for ~ 1 hr",02/05/2024,Y,
Open,02/04/2024 18:47,Caledonia,MI,USA,Orb,Hovered in one general area for almost an hour; quickly changed directions and made figure 8 patterns,02/04/2024,,
Open !,01/14/2024 21:10,Ithaca,NY,USA,Light,"Two lights climbing, descending, and changing direction rapidly",01/14/2024,,
Open !,01/14/2024 5:00,Phoenix,AZ,USA,Formation,Maneuvering lights at very high altitude views for 45 minutes at FL400,01/19/2024,,
Open,01/11/2024 16:45,Parkersburg,WV,USA,Diamond,Subject was passenger in car when observed object in western sky out passenger side. Photo taken with phone through window.,01/17/2024,Y,Contrail
Open !,01/11/2024 4:30,,Erzincan,Türkiye,Sphere,Multiple lights flying and moving randomly.,01/20/2024,Y,
Open !,01/10/2024 20:10,Yakima,WA,USA,Light,"Flying from DEN to PSC at 34,000’. Witnessed moving lights moving very fast and would appear and disappear. ATC had nothing on radar.",01/10/2024,Y,
Open !,01/09/2024 21:00,Lindau,Lower Saxony,Germany,Chevron,Close Encounter with landed craft while jogging late through the countryside.,06/18/2024,Y,
Open !,01/07/2024 20:40,Roseburg,OR,USA,Light,2 lights looked to be spinning.,01/07/2024,,
Open,01/07/2024 18:12,Gun Barrel City,TX,USA,Light,Unusual fast moving glow on south-southwest horizon moving east. Appeared surrounded by a haze but clear night. Very fast mover.,01/07/2024,Y,Rocket
Open !,01/05/2024 21:10,Sault Ste. Marie,ON,Canada,Light,Erratically moving lights that would appear and disappear staying in the same approximate location in relation to the stars,01/05/2024,Y,
